time,pred_funding
2026-04-03 12:00:00,0.0050000000
2026-04-03 13:00:00,0.0050000000
2026-04-03 14:00:00,0.0050000000
2026-04-03 15:00:00,0.0050000000
2026-04-03 16:00:00,0.0252970000
2026-04-03 17:00:00,0.0389880000
2026-04-03 18:00:00,0.0451740000
2026-04-03 19:00:00,0.0283560000
2026-04-03 20:00:00,0.0231680000
2026-04-03 21:00:00,0.0386020000
2026-04-03 22:00:00,0.0686810000
2026-04-03 23:00:00,0.0947450000
2026-04-04 00:00:00,0.1084360000
2026-04-04 01:00:00,0.0831910000
2026-04-04 02:00:00,0.0463830000
2026-04-04 03:00:00,0.0387770000
2026-04-04 04:00:00,0.0373770000
2026-04-04 05:00:00,0.0481110000
2026-04-04 06:00:00,0.0445160000
2026-04-04 07:00:00,0.0526010000
2026-04-04 08:00:00,0.0798670000
2026-04-04 09:00:00,0.1016730000
2026-04-04 10:00:00,0.1046550000
2026-04-04 11:00:00,0.0753150000
2026-04-04 12:00:00,0.0720640000
2026-04-04 13:00:00,0.0978700000
2026-04-04 14:00:00,0.1234420000
2026-04-04 15:00:00,0.1556060000
2026-04-04 16:00:00,0.1179560000
2026-04-04 17:00:00,0.0753070000
2026-04-04 18:00:00,0.0461150000
2026-04-04 19:00:00,0.0295950000
2026-04-04 20:00:00,0.0342660000
2026-04-04 21:00:00,0.0365560000
2026-04-04 22:00:00,0.0384210000
2026-04-04 23:00:00,0.0461800000
2026-04-05 00:00:00,0.0438950000
2026-04-05 01:00:00,0.0279750000
2026-04-05 02:00:00,0.0156300000
2026-04-05 03:00:00,0.0050000000
2026-04-05 04:00:00,0.0054810000
2026-04-05 05:00:00,0.0102620000
2026-04-05 06:00:00,0.0066170000
2026-04-05 07:00:00,0.0150530000
2026-04-05 08:00:00,0.0752230000
2026-04-05 09:00:00,0.1464840000
2026-04-05 10:00:00,0.1627220000
2026-04-05 11:00:00,0.1926900000
2026-04-05 12:00:00,0.1712590000
2026-04-05 13:00:00,0.2077640000
2026-04-05 14:00:00,0.2702710000
2026-04-05 15:00:00,0.2919610000
2026-04-05 16:00:00,0.2907480000
2026-04-05 17:00:00,0.2936210000
2026-04-05 18:00:00,0.2383200000
2026-04-05 19:00:00,0.2011610000
2026-04-05 20:00:00,0.1701010000
2026-04-05 21:00:00,0.1582820000
2026-04-05 22:00:00,0.1347880000
2026-04-05 23:00:00,0.1291640000
2026-04-06 00:00:00,0.0894340000
2026-04-06 01:00:00,0.0881900000
2026-04-06 02:00:00,0.1260370000
2026-04-06 03:00:00,0.1639820000
2026-04-06 04:00:00,0.1751250000
2026-04-06 05:00:00,0.2057400000
2026-04-06 06:00:00,0.1692220000
2026-04-06 07:00:00,0.1246330000
2026-04-06 08:00:00,0.0964590000
2026-04-06 09:00:00,0.0758270000
2026-04-06 10:00:00,0.0725010000
2026-04-06 11:00:00,0.0383420000
2026-04-06 12:00:00,0.0256040000
2026-04-06 13:00:00,0.0110510000
2026-04-06 14:00:00,0.0050000000
2026-04-06 15:00:00,0.0050000000
2026-04-06 16:00:00,0.0050000000
2026-04-06 17:00:00,0.0200860000
2026-04-06 18:00:00,0.0605960000
2026-04-06 19:00:00,0.0834090000
2026-04-06 20:00:00,0.0582300000
2026-04-06 21:00:00,0.0360100000
2026-04-06 22:00:00,0.0428650000
2026-04-06 23:00:00,0.0236560000
2026-04-07 00:00:00,0.0200940000
2026-04-07 01:00:00,0.0349040000
2026-04-07 02:00:00,0.0426280000
2026-04-07 03:00:00,0.0471430000
2026-04-07 04:00:00,0.0276410000
2026-04-07 05:00:00,0.0172860000
2026-04-07 06:00:00,0.0114760000
2026-04-07 07:00:00,0.0107790000
2026-04-07 08:00:00,0.0176840000
2026-04-07 09:00:00,0.0418810000
2026-04-07 10:00:00,0.0392760000
2026-04-07 11:00:00,0.0601940000
2026-04-07 12:00:00,0.1082280000
2026-04-07 13:00:00,0.1760970000
2026-04-07 14:00:00,0.3502230000
2026-04-07 15:00:00,0.3671000000
2026-04-07 16:00:00,0.3056880000
2026-04-07 17:00:00,0.2601850000
2026-04-07 18:00:00,0.2430620000
2026-04-07 19:00:00,0.1851990000
2026-04-07 20:00:00,0.1514040000
2026-04-07 21:00:00,0.1865880000
2026-04-07 22:00:00,0.2302610000
2026-04-07 23:00:00,0.3693170000
2026-04-08 00:00:00,0.5103140000
2026-04-08 01:00:00,0.6925950000
2026-04-08 02:00:00,0.7378880000
2026-04-08 03:00:00,0.6953170000
2026-04-08 04:00:00,0.5503090000
2026-04-08 05:00:00,0.4708790000
2026-04-08 06:00:00,0.5270540000
2026-04-08 07:00:00,0.4833890000
2026-04-08 08:00:00,0.5263010000
2026-04-08 09:00:00,0.0000000000
